53화 : 마지막화 (1/2),9.88,2020.11.15
52화 : 똥 마려워,9.87,2020.11.08
51화 : 둘이 싸워봐,9.93,2020.11.01
50화 : 세계관 최강자들의 싸움이다,9.85,2020.10.25
49화 : 너는 오늘 김진우한테 죽는다,9.90,2020.10.18
48화 : 오소이(느려),9.95,2020.10.11
47화 : 잉이이이이이이익!!!,9.94,2020.10.04
46화 : 나는 네가 진심으로 죽었으면 좋겠어,9.90,2020.09.27
45화 : 마지막 네 번째 인생존망 사건,9.93,2020.09.20
44화 : 나 너 좋아해,9.92,2020.09.13
43화 : 너 뽀뽀하려고 그랬지!!!,9.84,2020.09.06
42화 : 안 아프게 맞는 법,9.81,2020.08.30
41화 : 내가 너희 괴롭히냐?,9.90,2020.08.23
40화 : 넌 이제 원래 몸으로 못 돌아가,9.89,2020.08.16
39화 : 내면 기절시키기!,9.86,2020.08.09
38화 : 워싱 칭따오,9.88,2020.08.02
37화 : 감히 착한 주인공의 앞길을 막아?,9.76,2020.07.26
36화 : 너의 패배를 인정해 김김진진우우,9.92,2020.07.19
35화 : 나 지금 오줌 쌀 거다!!!,9.89,2020.07.12
34화 : 너도 임슬기처럼 될래?,9.71,2020.07.05
33화 : 인생존망 세 번째 사건,9.89,2020.06.28
32화 : 이게 세계관 최강자의 힘인가?!,9.83,2020.06.21
31화 : 소원들어준다며,9.86,2020.06.14
30화 : 아~ 싸대기 마렵다,9.84,2020.06.07
29화 : 어휴 철 좀 들어라 박다빈ㅉㅉ,9.85,2020.05.31
28화 : 세 번째 사건 언제 일어나냐,9.82,2020.05.24
27화 : 경찰 오기 전에 죽여버릴건데ㅋㅋㅋ,9.92,2020.05.17
26화 : 대사도 외우겠다 ㅆ발놈아,9.90,2020.05.10
25화 : 스스로 벌점주는 소녀가 있다?!,9.67,2020.05.03
24화: 지지 않는 거냐고 임슬기!,9.68,2020.04.26
23화 : 3D에는 관심없어,9.78,2020.04.19
22화 : 비명은 어린애들이나 지르는 것,8.52,2020.04.12
21화 : 포경수술 별 거 없네 뭐ㅋㅋ,9.85,2020.04.05
20화 : 저러니 괴롭힘 당하지ㅋㅋ,9.93,2020.03.29
19화 : 오늘은 스타킹 없는데...,9.93,2020.03.22
18화 : 시시해서 죽고 싶어졌다,9.93,2020.03.15
17화 : 뒷문 닫고 가 추워,9.90,2020.03.08
16화 : 유히왕 카드 내놔,9.94,2020.03.01
15화 : 혹시... 보고 싶은 거야?,9.94,2020.02.23
14화 : 날 좀 괴롭혀줘!,9.90,2020.02.16
13화 : 길거리싸움 프로다!,9.92,2020.02.09
12화 : 변태ㅅ끼,9.89,2020.02.02
11화 : 나.. 나 좀 재워줘..,9.82,2020.01.26
10화 : 폭발하는 소년의 몸무게!,9.90,2020.01.19
9화 : 매너가 사람을 만든다(2),9.91,2020.01.12
8화 : 왜 울고 있지? 소년이여,9.90,2020.01.05
7화 : 장안철은 악마였다,9.92,2019.12.29
6화 : 첫번째 인생존망 사건,9.91,2019.12.22
5화 : 히어로 네임은 「핑크맨」 어때요?,9.92,2019.12.15
4화 : 이유 없이 조르기!,9.89,2019.12.08
3화 : 찐ㄸ에게 맞았다고 소문내줄까?,9.82,2019.12.01
2화 : 매너가 사람을 만든다,9.87,2019.11.24
1화 : 찐ㄸ 커서도 찐ㄸ더라,9.83,2019.11.17
프롤로그 : 내 인생은 ㅈ망이야,9.79,2019.11.10
